,candname,cf_score,congdist,first_last_name,party
25539,"DRIEHAUS, STEVEN LEO",-1.00091530164,1,STEVE DRIEHAUS,100
24613,"GANLEY, THOMAS D",0.996646886888,13,TOM GANLEY,200
24621,"COUSSOULE, JUSTIN",-1.6908464421,8,JUSTIN COUSSOULE,100
25657,"SCHMIDT, JEANNETTE H",0.972166203838,2,JEAN SCHMIDT,200
24629,"YALAMANCHILI, SURYA",-1.03410497063,2,SURYA YALAMANCHILI,100
25656,"JORDAN, JAMES D",1.16617992128,4,JIM JORDAN,200
24624,"LITT, DOUGLAS ALAN",-1.49793053512,4,DOUG LITT,100
25535,"BOCCIERI, JOHN A",-0.848088340056,16,JOHN BOCCIERI,100
24611,"RENACCI, JAMES B",1.08612875715,16,JIM RENACCI,200
25538,"LATTA, ROBERT EDWARD",1.00037703976,5,BOB LATTA,200
25537,"AUSTRIA, STEVE C",0.896020582665,7,STEVE AUSTRIA,200
25766,"LATOURETTE, STEVEN C",0.495298920282,14,STEVEN LATOURETTE,200
24010,"O'NEILL, WILLIAM MICHAEL",-1.1312557814,14,BILL O'NEILL,100
25931,"BOEHNER, JOHN ANDREW",0.945359623002,8,JOHN A. BOEHNER,200
25655,"WILSON, CHARLES A JR",-0.481053626762,6,CHARLIE WILSON,100
24623,"JOHNSON, BILL",1.04172889508,6,BILL JOHNSON,200
24607,"GIBBS, ROBERT BRIAN MR.",1.27188506087,18,ROBERT BRIAN MR. GIBBS,200
25540,"CHABOT, STEVEN J",1.09102999772,1,STEVE CHABOT,200
24199,"CONNER, WILLIAM R.",-1.60697802348,7,BILL CONNER,100
25652,"SPACE, ZACHARY T",-0.82386435839,18,ZACK SPACE,100
24625,"ROBERTS, JOSEPH MICHAEL",-1.31053846792,3,JOE ROBERTS,100
25844,"TURNER, MICHAEL R",0.95064054199,3,MIKE TURNER,200
24617,"CORRIGAN, PETER J",1.09740216423,10,PETER CORRIGAN,200
25511,"KUCINICH, DENNIS J",-1.51048461779,10,DENNIS KUCINICH,100
25536,"FUDGE, MARCIA L",-0.763169628615,11,MARCIA FUDGE,100
25654,"SUTTON, BETTY S MS.",-1.15848781071,13,BETTY SUTTON,100
24616,"BROOKS, PAULA L",-0.991044490272,12,PAULA BROOKS,100
25930,"TIBERI, PATRICK J",0.761395132356,12,PAT TIBERI,200
24620,"IOTT, RICHARD BRADLEY",1.15910417321,9,RICH IOTT,200
25843,"KAPTUR, MARCY",-0.587755282825,9,MARCY KAPTUR,100
25653,"KILROY, MARY JO",-1.3302487648,15,MARY JO KILROY,100
24009,"STIVERS, STEVE MR.",0.94031253207,15,STEVE STIVERS,200
24608,"GRAHAM, JAMES J",0.738160557861,17,JIM GRAHAM,200
25841,"RYAN, TIMOTHY J",-0.528508096016,17,TIMOTHY RYAN,100
