cf_score_0,cf_score_1,geoid,num_votes_0,num_votes_1,tot_votes,midpoint
-1.350869376,0.68018326,10001,323,918,1241,-0.335343058
-1.350869376,0.68018326,10002,288,1185,1473,-0.335343058
-1.350869376,0.68018326,10003,130,598,728,-0.335343058
-1.350869376,0.68018326,10004,145,642,787,-0.335343058
-1.350869376,0.68018326,10005,19,171,190,-0.335343058
-1.350869376,0.68018326,10006,463,228,691,-0.335343058
-1.350869376,0.68018326,10007,531,143,674,-0.335343058
-1.350869376,0.68018326,10008,113,26,139,-0.335343058
-1.350869376,0.68018326,10009,214,567,781,-0.335343058
-1.350869376,0.68018326,10010,52,274,326,-0.335343058
-1.350869376,0.68018326,10011,177,406,583,-0.335343058
-1.350869376,0.68018326,10012,69,85,154,-0.335343058
-1.350869376,0.68018326,10013,204,425,629,-0.335343058
-1.350869376,0.68018326,10014,136,295,431,-0.335343058
-1.350869376,0.68018326,10015,100,425,525,-0.335343058
-1.350869376,0.68018326,10016,128,338,466,-0.335343058
-1.350869376,0.68018326,10017,163,399,562,-0.335343058
-1.350869376,0.68018326,10018,292,947,1239,-0.335343058
-1.350869376,0.68018326,10019,350,1028,1378,-0.335343058
-1.350869376,0.68018326,10020,176,534,710,-0.335343058
-1.350869376,0.68018326,10021,187,800,987,-0.335343058
-1.350869376,0.68018326,10022,154,465,619,-0.335343058
-1.350869376,0.68018326,10023,144,596,740,-0.335343058
-1.350869376,0.68018326,10024,66,359,425,-0.335343058
-1.350869376,0.68018326,1010101,33,144,177,-0.335343058
-1.350869376,0.68018326,1010102,5,27,32,-0.335343058
-1.350869376,0.68018326,1010201,43,164,207,-0.335343058
-1.350869376,0.68018326,1010301,60,76,136,-0.335343058
-1.350869376,0.68018326,1010401,46,98,144,-0.335343058
-1.350869376,0.68018326,1030001A,2,7,9,-0.335343058
-1.350869376,0.68018326,1030001B,64,433,497,-0.335343058
-1.350869376,0.68018326,1030002,92,290,382,-0.335343058
-1.350869376,0.68018326,1030003,93,181,274,-0.335343058
-1.350869376,0.68018326,1030004,68,208,276,-0.335343058
-1.350869376,0.68018326,1050001,140,179,319,-0.335343058
-1.350869376,0.68018326,1050002,105,327,432,-0.335343058
