congdist,ideo,party,self_p,state
1,3,1.0,42,oh
7,3,1.0,21,oh
14,2,1.0,25,oh
8,5,0.0,97,oh
12,3,0.0,58,oh
11,4,0.0,91,oh
4,4,0.0,65,oh
10,2,1.0,48,oh
4,4,0.0,93,oh
3,4,1.0,85,oh
5,3,0.5,56,oh
10,3,0.5,84,oh
10,2,1.0,10,oh
12,3,0.0,50,oh
10,2,0.5,20,oh
14,4,1.0,52,oh
7,3,1.0,40,oh
3,3,0.0,92,oh
2,3,1.0,30,oh
3,3,0.5,56,oh
12,2,0.5,8,oh
3,1,0.5,10,oh
11,4,0.0,81,oh
2,2,1.0,1,oh
2,4,0.0,96,oh
3,1,1.0,28,oh
12,2,0.5,16,oh
16,3,1.0,42,oh
3,2,1.0,3,oh
6,2,0.5,21,oh
10,2,1.0,29,oh
3,3,1.0,39,oh
18,4,0.5,70,oh
3,3,1.0,32,oh
11,4,1.0,35,oh
10,3,0.5,50,oh
4,3,0.0,50,oh
12,3,0.0,53,oh
18,3,0.0,56,oh
5,4,0.0,80,oh
9,5,0.0,100,oh
18,3,0.0,72,oh
9,3,0.5,35,oh
15,2,1.0,48,oh
6,2,0.0,80,oh
17,3,1.0,18,oh
6,2,1.0,48,oh
9,5,0.5,100,oh
14,2,1.0,43,oh
12,3,1.0,41,oh
15,4,0.0,71,oh
5,2,0.0,50,oh
5,5,0.0,99,oh
13,4,0.0,83,oh
2,3,0.0,48,oh
12,5,0.0,91,oh
11,3,1.0,33,oh
18,4,0.0,80,oh
17,2,1.0,50,oh
8,3,1.0,44,oh
18,3,0.5,63,oh
8,5,0.0,100,oh
2,4,0.0,83,oh
13,1,0.5,1,oh
1,4,1.0,50,oh
15,2,0.5,24,oh
14,3,1.0,50,oh
7,5,0.0,96,oh
8,2,1.0,15,oh
5,3,0.0,72,oh
16,3,1.0,48,oh
2,3,1.0,75,oh
5,4,0.0,65,oh
1,4,0.0,100,oh
17,2,1.0,46,oh
9,2,0.5,3,oh
17,2,1.0,25,oh
11,2,1.0,45,oh
5,5,0.5,98,oh
3,2,1.0,51,oh
17,3,0.0,76,oh
7,2,0.5,48,oh
2,2,1.0,26,oh
1,2,1.0,2,oh
10,3,0.5,50,oh
18,3,1.0,50,oh
12,4,0.0,100,oh
9,2,1.0,1,oh
6,3,0.5,45,oh
16,1,1.0,30,oh
15,3,0.5,73,oh
16,4,1.0,64,oh
8,2,0.5,50,oh
15,3,1.0,50,oh
3,1,1.0,1,oh
10,2,1.0,52,oh
2,3,1.0,60,oh
16,1,1.0,99,oh
7,2,0.5,16,oh
8,5,0.0,98,oh
1,5,0.0,80,oh
8,3,1.0,48,oh
6,4,0.5,67,oh
8,4,0.5,95,oh
1,2,1.0,50,oh
4,5,0.0,91,oh
12,3,0.0,50,oh
16,4,1.0,80,oh
13,3,1.0,60,oh
18,3,1.0,60,oh
5,4,1.0,53,oh
2,4,0.0,90,oh
11,3,1.0,55,oh
8,3,0.5,45,oh
7,2,1.0,48,oh
8,3,0.5,34,oh
1,1,1.0,1,oh
11,3,0.0,50,oh
8,2,1.0,25,oh
12,4,0.5,56,oh
15,5,0.0,96,oh
16,3,0.5,48,oh
18,4,0.0,75,oh
9,3,1.0,50,oh
12,4,0.0,66,oh
5,4,0.0,77,oh
13,3,1.0,44,oh
18,3,0.5,44,oh
1,3,1.0,54,oh
15,3,1.0,40,oh
3,4,0.0,87,oh
1,4,0.5,93,oh
10,4,1.0,69,oh
13,4,0.5,75,oh
12,1,0.5,12,oh
17,2,0.5,68,oh
11,3,1.0,50,oh
13,3,1.0,43,oh
15,1,1.0,20,oh
16,3,1.0,70,oh
3,3,0.0,60,oh
14,3,1.0,13,oh
6,4,0.0,75,oh
11,3,1.0,65,oh
6,3,1.0,59,oh
1,4,0.0,70,oh
1,4,0.5,85,oh
12,3,0.5,79,oh
17,2,1.0,38,oh
3,5,0.0,98,oh
16,4,1.0,51,oh
18,1,1.0,50,oh
2,3,0.5,61,oh
18,2,0.5,20,oh
4,5,0.0,100,oh
18,2,1.0,20,oh
16,3,0.0,45,oh
8,2,0.5,3,oh
8,3,0.0,50,oh
3,1,0.5,3,oh
1,4,0.5,88,oh
14,2,1.0,14,oh
15,3,0.5,43,oh
17,3,0.5,40,oh
8,4,0.0,68,oh
5,4,0.0,75,oh
18,3,0.0,60,oh
16,1,1.0,1,oh
11,4,1.0,50,oh
4,3,0.5,50,oh
13,3,1.0,45,oh
5,5,0.0,89,oh
6,4,0.0,85,oh
12,4,0.0,69,oh
15,3,0.5,50,oh
7,1,0.0,1,oh
9,3,1.0,58,oh
8,4,0.0,82,oh
4,2,1.0,3,oh
4,4,0.0,80,oh
2,5,0.0,92,oh
8,4,0.5,79,oh
10,3,0.0,50,oh
4,2,0.5,54,oh
6,1,0.0,86,oh
5,5,0.0,90,oh
1,2,0.0,78,oh
3,2,0.5,20,oh
7,4,1.0,50,oh
10,3,1.0,48,oh
12,4,0.0,68,oh
15,3,0.5,52,oh
3,2,1.0,25,oh
4,3,1.0,70,oh
4,4,0.0,73,oh
15,1,0.5,1,oh
10,1,1.0,5,oh
10,3,0.0,62,oh
17,1,0.0,9,oh
12,5,0.0,99,oh
12,2,1.0,9,oh
4,3,0.5,76,oh
16,4,0.5,70,oh
3,4,0.0,90,oh
7,4,0.5,32,oh
5,5,0.0,83,oh
12,5,0.0,99,oh
14,4,0.5,62,oh
11,2,1.0,6,oh
13,3,1.0,47,oh
11,3,1.0,45,oh
4,4,0.0,60,oh
12,2,0.5,78,oh
12,2,1.0,46,oh
17,4,0.5,63,oh
15,2,0.5,18,oh
11,2,1.0,11,oh
13,4,0.5,87,oh
6,4,0.5,72,oh
11,2,1.0,51,oh
7,3,0.5,47,oh
12,3,0.5,40,oh
16,3,1.0,48,oh
14,3,0.5,53,oh
17,4,0.5,60,oh
9,3,1.0,93,oh
4,2,1.0,28,oh
12,2,1.0,13,oh
