congdist,ideo,party,self_p,state
16,5,0.0,100,oh
2,2,1.0,21,oh
7,4,0.0,95,oh
16,4,0.5,61,oh
3,4,0.0,75,oh
5,2,0.5,31,oh
5,2,0.5,26,oh
17,5,0.0,98,oh
16,5,0.0,81,oh
14,4,0.0,96,oh
14,5,0.0,96,oh
4,4,0.0,91,oh
16,4,0.5,77,oh
12,3,1.0,16,oh
12,4,0.0,75,oh
15,3,1.0,61,oh
13,1,1.0,25,oh
11,2,1.0,25,oh
12,4,0.5,91,oh
8,3,0.5,43,oh
12,2,0.5,5,oh
11,4,0.5,80,oh
13,3,1.0,30,oh
15,3,0.5,33,oh
12,4,0.5,38,oh
14,4,0.0,82,oh
2,4,0.0,84,oh
12,3,0.5,60,oh
15,3,0.5,59,oh
14,3,0.0,81,oh
10,2,1.0,3,oh
14,3,0.5,41,oh
8,3,1.0,26,oh
10,4,0.0,96,oh
2,5,0.0,95,oh
11,3,1.0,50,oh
14,4,0.0,75,oh
13,3,1.0,77,oh
14,2,1.0,50,oh
6,2,0.5,1,oh
1,2,0.5,4,oh
15,3,0.5,50,oh
13,3,0.5,50,oh
13,5,0.0,85,oh
13,5,0.0,90,oh
4,3,0.5,70,oh
1,3,0.5,73,oh
8,3,0.5,50,oh
2,5,0.0,99,oh
15,3,1.0,44,oh
15,3,0.5,50,oh
18,4,0.0,100,oh
17,4,1.0,42,oh
11,2,1.0,52,oh
16,4,0.0,82,oh
10,4,0.0,90,oh
12,2,1.0,25,oh
4,4,0.0,63,oh
10,4,0.0,90,oh
18,4,0.0,78,oh
1,2,0.5,30,oh
15,3,0.5,50,oh
5,2,1.0,50,oh
13,3,0.5,50,oh
9,2,0.5,40,oh
15,3,1.0,36,oh
1,2,0.5,1,oh
6,2,1.0,53,oh
1,5,0.0,99,oh
18,4,0.0,100,oh
10,2,0.5,25,oh
16,2,1.0,21,oh
14,4,0.0,76,oh
17,4,0.5,52,oh
5,4,0.0,72,oh
8,3,1.0,50,oh
14,3,1.0,38,oh
4,4,0.0,85,oh
17,4,0.0,93,oh
17,4,1.0,75,oh
18,3,0.5,59,oh
4,3,1.0,40,oh
11,3,0.5,45,oh
10,4,0.5,85,oh
15,1,0.5,0,oh
14,2,1.0,46,oh
14,1,0.5,0,oh
3,4,0.5,72,oh
6,4,0.0,90,oh
2,3,0.5,50,oh
6,1,1.0,1,oh
16,5,0.0,87,oh
6,2,1.0,25,oh
4,3,0.0,75,oh
9,4,0.0,98,oh
16,2,0.5,17,oh
3,4,0.5,6,oh
1,3,0.0,67,oh
8,5,0.0,100,oh
7,3,0.5,50,oh
15,4,0.5,75,oh
5,5,1.0,70,oh
5,4,0.5,85,oh
2,4,0.0,85,oh
17,3,0.5,46,oh
11,2,0.5,10,oh
15,3,0.0,65,oh
3,4,0.5,82,oh
12,3,1.0,37,oh
15,3,0.5,55,oh
8,4,0.0,70,oh
16,5,0.0,86,oh
7,4,0.5,90,oh
9,5,0.0,100,oh
16,4,0.5,70,oh
5,3,0.5,47,oh
5,4,0.0,75,oh
13,3,0.5,65,oh
2,2,0.5,19,oh
15,3,0.5,50,oh
1,3,1.0,25,oh
3,3,0.5,45,oh
9,4,0.5,68,oh
15,1,1.0,4,oh
13,5,0.0,90,oh
9,3,0.5,50,oh
10,4,0.5,84,oh
14,3,1.0,17,oh
7,3,0.5,70,oh
7,5,0.0,65,oh
14,3,1.0,50,oh
2,2,0.5,31,oh
3,4,0.0,100,oh
13,4,0.0,80,oh
13,3,1.0,38,oh
16,5,0.5,97,oh
7,2,1.0,13,oh
16,3,0.0,47,oh
7,3,1.0,63,oh
12,2,1.0,20,oh
9,4,0.5,83,oh
13,3,1.0,41,oh
16,2,1.0,21,oh
11,4,0.5,80,oh
14,5,0.0,79,oh
5,2,1.0,16,oh
10,2,1.0,25,oh
10,3,1.0,64,oh
8,3,0.5,65,oh
15,3,0.5,49,oh
3,4,0.0,90,oh
1,3,1.0,24,oh
7,1,1.0,15,oh
15,3,0.5,58,oh
10,2,1.0,19,oh
9,4,1.0,42,oh
2,2,1.0,20,oh
6,4,0.0,75,oh
13,3,0.5,50,oh
6,3,1.0,50,oh
16,3,1.0,21,oh
8,1,1.0,5,oh
5,1,0.5,16,oh
12,3,0.5,50,oh
6,3,1.0,46,oh
3,1,0.5,10,oh
9,1,1.0,15,oh
11,4,0.5,85,oh
6,3,0.5,34,oh
8,4,0.0,92,oh
12,3,1.0,50,oh
8,5,0.5,100,oh
3,4,0.0,76,oh
14,5,0.0,95,oh
17,2,1.0,35,oh
16,3,0.5,51,oh
3,3,1.0,47,oh
7,3,0.5,45,oh
5,4,0.5,74,oh
5,1,1.0,4,oh
13,3,0.0,49,oh
12,3,1.0,50,oh
4,3,1.0,43,oh
15,3,0.5,70,oh
17,5,0.0,94,oh
14,2,1.0,1,oh
13,2,1.0,15,oh
17,2,1.0,10,oh
4,5,0.5,93,oh
7,4,1.0,38,oh
13,2,1.0,1,oh
9,3,0.5,41,oh
3,3,0.5,81,oh
10,3,0.5,48,oh
8,4,0.5,72,oh
9,2,1.0,30,oh
6,4,0.5,80,oh
1,3,1.0,45,oh
16,3,0.5,61,oh
6,4,0.5,70,oh
1,4,0.0,58,oh
10,4,0.5,100,oh
1,4,0.0,84,oh
13,2,1.0,38,oh
9,3,0.5,50,oh
13,3,0.5,55,oh
13,4,0.0,90,oh
12,3,0.5,1,oh
4,3,0.5,46,oh
9,4,0.5,60,oh
13,4,0.0,75,oh
13,2,1.0,49,oh
12,2,1.0,40,oh
13,4,0.0,96,oh
16,3,0.5,36,oh
16,4,0.0,85,oh
10,5,0.0,100,oh
6,4,0.0,100,oh
14,3,1.0,13,oh
16,5,0.5,100,oh
14,4,0.5,95,oh
11,4,0.0,88,oh
7,4,0.0,77,oh
8,3,0.5,42,oh
6,4,0.0,75,oh
8,4,0.0,60,oh
16,2,1.0,12,oh
4,4,0.5,70,oh
7,3,0.5,10,oh
3,2,0.5,96,oh
7,5,0.0,91,oh
1,3,1.0,20,oh
7,5,0.0,100,oh
5,3,0.5,40,oh
17,3,0.0,70,oh
5,3,0.5,69,oh
13,3,1.0,41,oh
7,3,0.0,75,oh
3,2,1.0,16,oh
17,3,0.5,58,oh
12,4,0.0,85,oh
2,3,1.0,48,oh
16,3,0.5,63,oh
18,3,0.0,75,oh
2,3,1.0,27,oh
14,3,0.5,50,oh
13,4,0.5,80,oh
8,4,0.5,83,oh
3,2,1.0,48,oh
4,4,0.0,78,oh
13,2,1.0,11,oh
7,2,1.0,44,oh
4,4,0.0,90,oh
17,4,0.0,75,oh
9,4,0.0,74,oh
16,3,0.5,65,oh
10,3,1.0,28,oh
18,4,1.0,68,oh
5,5,0.5,85,oh
7,5,0.0,99,oh
2,3,0.0,46,oh
7,3,0.5,30,oh
16,3,0.5,50,oh
13,1,1.0,0,oh
5,3,1.0,36,oh
18,4,0.0,98,oh
6,4,0.0,70,oh
1,4,0.0,100,oh
4,4,0.0,98,oh
2,4,0.5,100,oh
8,2,1.0,51,oh
2,3,0.5,65,oh
9,3,0.0,68,oh
2,2,1.0,35,oh
16,3,1.0,45,oh
17,2,1.0,24,oh
17,5,0.5,100,oh
14,3,0.5,49,oh
1,2,1.0,26,oh
15,5,0.0,95,oh
17,3,1.0,30,oh
15,4,0.0,61,oh
1,4,0.0,91,oh
17,1,0.5,0,oh
13,4,0.5,85,oh
11,3,0.5,50,oh
15,2,0.5,34,oh
14,3,1.0,49,oh
15,3,1.0,50,oh
2,3,0.5,96,oh
16,5,0.0,70,oh
6,2,1.0,55,oh
6,3,1.0,12,oh
6,3,1.0,17,oh
9,3,0.5,35,oh
5,5,0.5,100,oh
16,3,0.5,80,oh
15,4,0.0,95,oh
16,3,0.0,52,oh
18,4,0.0,68,oh
7,5,0.0,99,oh
9,3,0.0,30,oh
3,2,1.0,25,oh
16,5,0.5,80,oh
9,3,0.0,34,oh
9,2,0.5,38,oh
4,2,1.0,5,oh
5,4,0.0,83,oh
7,4,0.5,81,oh
2,4,0.0,83,oh
7,2,1.0,20,oh
5,4,0.5,60,oh
11,2,1.0,32,oh
14,5,0.0,97,oh
3,3,0.5,50,oh
10,3,0.5,49,oh
14,3,0.0,56,oh
6,4,0.5,86,oh
1,5,0.0,86,oh
12,4,0.5,84,oh
13,3,0.5,53,oh
17,3,1.0,50,oh
5,4,0.5,91,oh
13,4,1.0,10,oh
12,3,0.5,45,oh
18,4,0.0,75,oh
17,1,0.5,1,oh
8,4,0.0,84,oh
5,2,1.0,5,oh
7,5,0.0,80,oh
3,1,1.0,4,oh
4,3,1.0,58,oh
18,4,0.5,73,oh
11,1,1.0,10,oh
7,3,0.5,51,oh
10,2,0.5,14,oh
3,3,0.0,97,oh
6,5,0.0,86,oh
11,2,1.0,53,oh
12,3,0.5,35,oh
16,2,1.0,33,oh
3,1,1.0,51,oh
15,4,0.5,78,oh
13,1,1.0,1,oh
2,4,0.0,65,oh
9,4,0.0,78,oh
4,4,0.5,99,oh
3,3,1.0,48,oh
11,3,0.5,51,oh
10,3,0.5,50,oh
15,3,0.5,48,oh
2,3,0.5,50,oh
14,4,0.0,93,oh
4,3,0.0,99,oh
15,4,0.5,85,oh
8,5,0.0,100,oh
3,4,0.0,74,oh
13,2,1.0,5,oh
12,4,0.5,75,oh
7,2,1.0,30,oh
1,2,0.5,43,oh
12,1,1.0,1,oh
2,2,1.0,40,oh
16,3,1.0,25,oh
10,1,1.0,3,oh
3,1,1.0,10,oh
13,3,0.5,48,oh
1,4,0.0,90,oh
3,5,0.0,94,oh
5,5,0.0,99,oh
14,4,0.0,93,oh
1,4,0.0,86,oh
9,2,1.0,39,oh
7,4,0.5,55,oh
4,3,0.5,70,oh
2,4,0.5,88,oh
6,2,0.5,44,oh
13,3,1.0,53,oh
1,4,0.5,98,oh
2,3,1.0,51,oh
17,3,0.5,52,oh
15,1,0.5,13,oh
8,3,0.0,39,oh
18,2,0.5,40,oh
1,3,0.0,75,oh
7,5,0.0,98,oh
15,4,0.0,83,oh
2,3,0.5,48,oh
4,3,1.0,45,oh
18,4,0.0,96,oh
6,3,0.5,60,oh
10,3,0.0,25,oh
15,2,1.0,4,oh
17,5,0.0,35,oh
1,2,1.0,25,oh
12,3,0.5,40,oh
8,5,0.0,100,oh
14,4,0.0,66,oh
18,4,0.5,80,oh
5,4,0.0,99,oh
7,3,1.0,40,oh
10,3,1.0,50,oh
9,5,0.5,1,oh
8,4,1.0,99,oh
10,2,1.0,45,oh
7,4,0.0,100,oh
16,5,0.5,100,oh
16,3,0.5,60,oh
10,4,0.5,76,oh
5,3,0.5,50,oh
10,4,0.0,90,oh
16,3,1.0,50,oh
12,2,1.0,50,oh
17,3,1.0,45,oh
1,3,0.5,48,oh
4,2,1.0,32,oh
1,1,1.0,50,oh
16,3,1.0,43,oh
5,3,0.5,50,oh
8,4,0.5,98,oh
13,3,0.0,50,oh
7,2,1.0,2,oh
12,1,1.0,30,oh
1,4,0.0,98,oh
18,4,0.0,65,oh
18,3,0.5,53,oh
1,3,1.0,55,oh
16,3,0.0,40,oh
10,4,0.0,73,oh
15,2,0.5,28,oh
15,4,0.0,71,oh
17,4,0.5,75,oh
7,3,1.0,40,oh
15,5,0.0,98,oh
10,2,1.0,1,oh
5,2,1.0,38,oh
12,2,1.0,17,oh
18,2,1.0,40,oh
14,2,0.5,50,oh
10,1,1.0,1,oh
4,1,1.0,26,oh
8,4,0.0,85,oh
2,5,0.0,94,oh
16,1,0.5,12,oh
16,3,0.0,60,oh
2,5,0.0,95,oh
6,4,0.0,85,oh
13,3,0.5,61,oh
4,2,1.0,0,oh
9,3,0.5,43,oh
3,2,1.0,9,oh
10,2,1.0,29,oh
3,3,1.0,7,oh
9,4,0.5,72,oh
8,2,1.0,29,oh
10,4,0.0,72,oh
17,2,0.5,1,oh
18,3,0.0,75,oh
14,5,0.5,85,oh
7,2,1.0,18,oh
9,4,1.0,82,oh
2,4,0.0,70,oh
9,3,0.5,75,oh
7,3,0.0,70,oh
11,2,1.0,12,oh
2,4,0.0,95,oh
13,3,0.5,48,oh
3,3,0.0,80,oh
3,2,1.0,29,oh
1,4,0.5,91,oh
2,3,0.5,59,oh
3,4,0.0,78,oh
3,3,1.0,61,oh
3,3,0.5,51,oh
1,3,0.0,70,oh
14,2,1.0,18,oh
11,4,0.0,75,oh
5,4,1.0,44,oh
12,3,1.0,58,oh
4,4,0.0,90,oh
1,3,0.5,63,oh
5,4,0.0,71,oh
3,3,0.5,48,oh
14,4,0.5,98,oh
17,1,0.5,1,oh
12,1,1.0,32,oh
6,3,1.0,60,oh
6,4,0.0,75,oh
6,3,1.0,85,oh
4,3,0.0,59,oh
10,4,0.0,88,oh
2,3,0.5,50,oh
2,5,0.0,99,oh
4,3,0.5,80,oh
9,3,0.5,35,oh
10,3,0.5,40,oh
18,1,1.0,1,oh
3,3,0.5,34,oh
16,2,1.0,22,oh
13,3,1.0,46,oh
12,1,0.5,35,oh
16,1,1.0,15,oh
14,3,0.0,70,oh
8,3,0.0,50,oh
18,3,1.0,34,oh
4,3,0.0,75,oh
2,3,0.5,35,oh
3,3,0.0,59,oh
7,3,0.5,50,oh
14,3,0.0,34,oh
1,1,1.0,1,oh
3,3,1.0,30,oh
14,3,1.0,38,oh
16,3,0.5,93,oh
14,1,1.0,0,oh
3,3,1.0,43,oh
12,3,1.0,35,oh
16,5,0.0,100,oh
2,4,0.0,80,oh
11,1,1.0,10,oh
6,3,0.5,70,oh
4,4,0.0,94,oh
2,3,1.0,36,oh
11,4,0.0,95,oh
17,1,1.0,15,oh
13,2,0.5,10,oh
16,2,1.0,20,oh
4,1,1.0,50,oh
13,2,0.5,22,oh
12,4,0.5,65,oh
3,4,0.0,95,oh
16,2,1.0,25,oh
3,4,0.5,80,oh
11,2,1.0,31,oh
12,3,0.5,16,oh
7,4,0.5,87,oh
3,3,0.5,50,oh
6,3,0.5,75,oh
3,3,0.5,23,oh
1,4,0.0,73,oh
2,3,0.5,50,oh
13,3,0.5,41,oh
12,3,1.0,35,oh
5,5,0.0,88,oh
18,4,0.0,83,oh
9,2,0.5,25,oh
3,3,0.0,81,oh
16,3,1.0,28,oh
3,3,0.5,49,oh
2,3,0.5,20,oh
4,4,0.0,100,oh
17,5,0.0,73,oh
5,3,0.5,41,oh
6,2,1.0,60,oh
15,5,0.0,99,oh
10,4,0.0,78,oh
6,5,0.0,100,oh
5,4,0.5,91,oh
16,3,0.5,53,oh
8,5,0.0,100,oh
12,3,0.5,49,oh
17,5,0.0,98,oh
12,4,0.0,69,oh
5,4,0.0,92,oh
18,3,0.5,46,oh
16,3,0.5,25,oh
15,4,0.0,92,oh
2,2,0.5,20,oh
2,3,0.5,65,oh
14,4,0.0,45,oh
14,4,0.0,75,oh
15,2,1.0,25,oh
15,1,0.5,0,oh
2,4,0.0,50,oh
6,2,1.0,15,oh
6,2,0.5,46,oh
13,3,1.0,30,oh
1,3,0.5,40,oh
4,3,0.0,85,oh
2,4,0.0,75,oh
12,2,1.0,31,oh
7,3,0.0,55,oh
8,4,0.0,80,oh
4,3,0.5,75,oh
14,5,0.0,69,oh
12,3,1.0,60,oh
1,2,1.0,22,oh
1,2,1.0,36,oh
6,3,1.0,45,oh
4,2,1.0,12,oh
13,4,0.5,50,oh
3,4,0.5,65,oh
1,5,0.5,100,oh
3,3,0.5,40,oh
8,3,0.0,72,oh
16,3,0.5,54,oh
3,3,1.0,49,oh
14,2,1.0,35,oh
7,3,0.5,43,oh
15,2,1.0,49,oh
5,4,0.0,93,oh
10,4,0.0,77,oh
8,3,0.0,62,oh
13,3,1.0,32,oh
9,3,0.5,35,oh
13,3,0.5,48,oh
9,4,0.0,56,oh
14,3,0.5,50,oh
2,4,0.0,50,oh
16,3,0.5,36,oh
8,3,1.0,38,oh
7,4,0.0,98,oh
4,5,0.5,100,oh
2,3,0.0,50,oh
15,1,1.0,20,oh
3,3,0.5,50,oh
3,5,0.0,89,oh
7,4,0.0,90,oh
2,4,0.0,80,oh
18,4,0.0,75,oh
4,1,1.0,1,oh
5,5,0.0,99,oh
4,4,0.5,55,oh
3,3,0.5,55,oh
12,4,0.5,60,oh
18,4,0.0,80,oh
15,5,0.0,83,oh
1,4,0.5,94,oh
6,2,1.0,3,oh
11,3,1.0,38,oh
2,4,0.0,76,oh
3,3,0.0,55,oh
2,3,0.5,50,oh
4,5,0.0,91,oh
2,3,0.5,36,oh
12,3,1.0,86,oh
7,4,0.5,53,oh
9,3,0.5,40,oh
3,4,0.0,80,oh
9,4,0.5,63,oh
10,3,0.5,50,oh
5,2,0.0,89,oh
11,3,1.0,28,oh
15,3,1.0,58,oh
12,5,0.0,100,oh
9,5,0.0,50,oh
10,4,0.0,90,oh
3,3,0.0,78,oh
11,2,0.5,36,oh
15,2,1.0,30,oh
2,4,0.0,70,oh
8,4,0.0,88,oh
5,3,1.0,41,oh
2,4,0.0,97,oh
1,3,0.0,45,oh
3,4,0.0,70,oh
12,1,0.5,1,oh
7,3,0.5,54,oh
17,3,0.5,59,oh
17,2,1.0,35,oh
4,3,1.0,50,oh
3,4,0.5,48,oh
6,2,1.0,18,oh
15,4,0.0,99,oh
18,4,0.0,100,oh
5,3,0.0,70,oh
9,2,1.0,39,oh
10,3,0.5,50,oh
13,3,1.0,25,oh
15,4,0.0,85,oh
5,5,0.0,100,oh
3,3,0.0,86,oh
12,3,1.0,38,oh
16,3,1.0,50,oh
13,4,0.0,91,oh
4,5,0.5,97,oh
8,3,0.0,95,oh
5,4,1.0,64,oh
16,1,1.0,16,oh
6,2,1.0,25,oh
3,3,1.0,45,oh
4,2,0.5,46,oh
2,3,1.0,50,oh
17,3,1.0,50,oh
14,4,0.5,61,oh
15,3,1.0,68,oh
8,4,0.0,96,oh
10,2,1.0,9,oh
16,1,0.5,2,oh
2,4,0.0,93,oh
7,3,0.0,62,oh
8,2,1.0,4,oh
15,3,0.5,47,oh
2,2,0.5,39,oh
12,4,0.5,53,oh
12,3,0.0,28,oh
1,4,1.0,48,oh
3,3,0.5,46,oh
13,3,1.0,26,oh
15,2,1.0,16,oh
15,4,0.0,80,oh
7,4,0.0,77,oh
12,3,0.5,61,oh
10,4,0.0,90,oh
12,4,0.0,79,oh
9,4,0.0,100,oh
8,3,0.0,65,oh
13,3,0.5,47,oh
12,3,1.0,45,oh
8,4,0.0,70,oh
16,3,0.5,47,oh
12,3,0.5,90,oh
1,3,0.5,54,oh
13,2,0.5,32,oh
10,2,1.0,34,oh
5,3,1.0,46,oh
13,3,1.0,18,oh
3,5,0.0,98,oh
16,4,0.0,95,oh
9,5,0.0,97,oh
2,4,0.0,55,oh
14,3,1.0,1,oh
6,3,1.0,51,oh
6,1,1.0,8,oh
12,2,1.0,32,oh
11,3,1.0,99,oh
13,3,1.0,40,oh
7,4,0.0,81,oh
16,3,1.0,42,oh
10,4,0.0,80,oh
14,3,0.5,36,oh
7,4,0.0,76,oh
3,3,1.0,46,oh
2,4,0.0,58,oh
15,4,0.0,72,oh
10,4,1.0,100,oh
17,3,1.0,43,oh
18,4,1.0,47,oh
17,3,0.5,45,oh
8,3,1.0,45,oh
11,3,1.0,45,oh
8,4,0.0,79,oh
3,5,0.0,75,oh
8,4,0.0,1,oh
16,3,0.5,50,oh
10,3,1.0,30,oh
1,3,1.0,48,oh
10,4,0.0,94,oh
6,2,1.0,12,oh
13,3,1.0,33,oh
10,4,0.5,80,oh
7,2,1.0,63,oh
10,2,1.0,20,oh
3,1,1.0,4,oh
13,3,0.5,50,oh
17,4,0.5,17,oh
7,3,0.5,50,oh
18,3,0.5,22,oh
8,2,1.0,47,oh
10,3,1.0,65,oh
1,3,1.0,30,oh
1,1,1.0,1,oh
12,2,1.0,34,oh
15,4,0.0,80,oh
10,4,0.0,75,oh
4,4,0.0,83,oh
13,5,0.5,99,oh
8,3,1.0,50,oh
9,1,1.0,3,oh
16,4,0.0,96,oh
9,4,0.0,100,oh
15,2,1.0,40,oh
14,3,0.5,40,oh
16,3,1.0,33,oh
18,3,1.0,50,oh
3,5,0.5,96,oh
4,3,0.0,53,oh
16,3,1.0,49,oh
9,3,1.0,43,oh
8,4,0.5,75,oh
11,3,1.0,31,oh
17,2,1.0,16,oh
18,3,1.0,57,oh
14,3,1.0,61,oh
12,4,0.0,100,oh
18,2,1.0,27,oh
17,4,0.0,50,oh
4,3,0.5,83,oh
13,4,1.0,41,oh
1,3,0.0,70,oh
10,4,0.0,83,oh
6,3,0.0,51,oh
16,2,1.0,100,oh
16,3,0.5,40,oh
4,4,0.0,73,oh
15,3,1.0,50,oh
15,3,1.0,51,oh
6,3,1.0,27,oh
15,3,1.0,43,oh
8,2,1.0,43,oh
18,4,0.0,88,oh
18,3,1.0,33,oh
3,3,0.0,79,oh
12,3,0.0,45,oh
5,4,0.0,82,oh
12,2,1.0,20,oh
17,1,0.5,1,oh
10,3,0.5,51,oh
7,3,0.0,55,oh
13,3,1.0,50,oh
10,5,0.0,99,oh
10,5,0.0,100,oh
7,3,1.0,62,oh
3,3,1.0,73,oh
8,3,0.5,100,oh
10,3,1.0,88,oh
4,3,1.0,43,oh
8,3,1.0,38,oh
11,4,0.0,87,oh
8,3,0.0,48,oh
12,4,0.0,70,oh
3,3,1.0,44,oh
12,3,0.0,48,oh
12,3,1.0,47,oh
15,2,1.0,1,oh
14,4,0.0,96,oh
6,1,1.0,21,oh
