,geoid,congdist
315,004-ADB,14
316,004-ADC,14
317,004-ADD,14
318,004-ADE,14
319,004-ADF,14
320,004-ADG,14
321,004-ADH,14
322,004-ADI,14
323,004-ADJ,14
324,004-ADK,14
325,004-ADL,14
326,004-ADM,14
327,004-ADN,14
328,004-ADO,14
329,004-ADP,14
330,004-ADQ,14
331,004-ADR,14
332,004-ADS,14
333,004-ADT,14
334,004-ADU,14
335,004-ADV,14
336,004-ADW,14
337,004-ADX,14
338,004-ADY,14
339,004-ADZ,14
340,004-AEA,14
341,004-AEB,14
342,004-AEC,14
343,004-AED,14
344,004-AEE,14
345,004-AEF,14
346,004-AEG,14
347,004-AEH,14
348,004-AEI,14
349,004-AEJ,14
350,004-AEK,14
351,004-AEL,14
352,004-AEM,14
353,004-AEN,14
354,004-AEO,14
355,004-AEP,14
356,004-AEQ,14
357,004-AER,14
358,004-AES,14
359,004-AET,14
360,004-AEU,14
361,004-AEV,14
362,004-AEW,14
363,004-AEX,14
364,004-AEY,14
365,004-AEZ,14
366,005-AAA,6
367,005-AAB,6
368,005-AAC,6
369,005-AAD,6
370,005-AAE,6
371,005-AAF,6
372,005-AAG,6
373,005-AAH,6
374,005-AAI,6
375,005-AAJ,6
376,005-AAK,6
377,005-AAL,6
378,005-AAM,6
379,005-AAN,6
380,005-AAO,6
381,005-AAP,6
382,005-AAQ,6
383,005-AAR,6
384,005-AAS,6
385,005-AAT,6
386,005-AAU,6
387,005-AAV,6
388,005-AAW,6
389,005-AAX,18
390,005-AAY,18
391,005-AAZ,18
392,005-ABA,18
393,005-ABB,18
394,005-ABC,18
395,005-ABD,18
396,005-ABE,18
397,005-ABF,6
398,005-ABG,6
399,005-ABH,6
400,005-ABI,6
401,005-ABJ,6
402,005-ABK,6
403,005-ABL,6
404,005-ABM,6
405,005-ABN,6
406,005-ABO,6
407,005-ABP,6
408,005-ABQ,6
409,005-ABR,6
410,005-ABS,18
411,005-ABT,18
412,005-ABU,18
413,005-ABV,18
414,005-ABW,6
415,005-ABX,6
