,candname,cf_score,congdist,first_last_name,party
20464,"BROWN, EDWARD S",-0.995523586555,12,EDWARD S BROWN,100
20465,"SANDERS, CHARLES WALTON",-4.54359366407,3,CHARLES WALTON SANDERS,100
20641,"PADGETT, JOY",0.923223107479,18,JOY PADGETT,200
20642,"STEWART, JENNIFER",-0.754891528358,18,JENNIFER STEWART,100
20643,"SULZER, JOSEPH R",-0.850506408502,18,JOSEPH R SULZER,100
20644,"WOLF, JOSHUA L",-0.909225204127,18,JOSHUA L WOLF,100
20645,"MILLER, MATT",1.32062752274,16,MATT MILLER,200
20646,"LOSEY, MARK ADRIAN",-1.63670474742,15,MARK ADRIAN LOSEY,100
20647,"KUCINICH, GARY J",-0.891936201252,13,GARY J KUCINICH,100
20648,"BURTZLAFF, PAUL S",3.54431634972,13,PAUL S BURTZLAFF,200
20649,"GRACE, WILLIAM M",-0.372896491387,13,WILLIAM M GRACE,100
20650,"FOLTIN, CRAIG MR.",0.777369696851,13,CRAIG MR. FOLTIN,200
20651,"MCGREW, DAVID MICHAEL",1.07275626544,13,DAVID MICHAEL MCGREW,200
20652,"REILLY, MICHAEL",-0.667720595796,12,MICHAEL REILLY,100
20653,"KATZ, LEWIS ROBERT",-1.04826659489,14,LEWIS ROBERT KATZ,100
20654,"DOVILLA, MICHAEL D",0.945230742339,10,MICHAEL D DOVILLA,200
20655,"WERNER, JASON DAVID",1.10722798218,10,JASON DAVID WERNER,200
20656,"CONNER, WILLIAM RUSSELL",-1.60697802348,7,WILLIAM RUSSELL CONNER,100
20657,"SAKS, DANIEL",-2.21982196107,7,DANIEL SAKS,100
20658,"BLASDEL, CHUCK",0.906249743903,6,CHUCK BLASDEL,200
20659,"GINTER, TIMOTHY EDWARD",1.20159291979,6,TIMOTHY EDWARD GINTER,200
20660,"HOLT, RICHARD SHAWN",1.16256699476,6,RICHARD SHAWN HOLT,200
20661,"HARMON, DANNY",1.43116171672,6,DANNY HARMON,200
20662,"GUGLIELMI, FRANK A",1.11890496558,4,FRANK A GUGLIELMI,200
20663,"MARTIN, NATHAN JAMES",1.94597910992,4,NATHAN JAMES MARTIN,200
20664,"NESTOR, KEVIN PAUL",1.12980136832,4,KEVIN PAUL NESTOR,200
20665,"GILB, MICHAEL E",1.16130619546,4,MICHAEL E GILB,200
20666,"SIFERD, RICHARD E",-1.2745648857,4,RICHARD E SIFERD,100
20667,"CHEMA, JOHN RICHARD",-0.791103288061,3,JOHN RICHARD CHEMA,100
20668,"STUDEBAKER, STEPHANIE BRESLIN",-1.48024796215,3,STEPHANIE BRESLIN STUDEBAKER,100
20669,"FIERST, DAVID JOSEPH",-1.03319133517,3,DAVID JOSEPH FIERST,100
20670,"DOWNEY, GABRIELLE VICTORIA",-1.30242779346,2,GABRIELLE VICTORIA DOWNEY,100
20671,"FOSSETT, PETER A.",0.752029908117,2,PETER A. FOSSETT,200
20672,"WULSIN, VICTORIA WELLS",-1.27367018368,2,VICTORIA WELLS WULSIN,100
20673,"BRINKMAN, THOMAS E JR",1.21141567875,2,THOMAS E JR BRINKMAN,200
20674,"HACKETT, PAUL LEWIS III",-1.29925591341,2,PAUL LEWIS III HACKETT,100
20675,"DEWINE, R. PAT",0.740918371478,2,R. PAT DEWINE,200
20676,"JACOBS, THOR",-0.481030998517,2,THOR JACOBS,100
21116,"CAFARO, CAPRI",-0.571095464731,13,CAPRI CAFARO,100
21117,"FERRIS, BARBARA A",-0.243068770869,10,BARBARA A FERRIS,100
21118,"KACZALA, LARRY A",0.976114803134,9,LARRY A KACZALA,200
21119,"WEIRAUCH, ROBIN R",-1.23266305592,5,ROBIN R WEIRAUCH,100
21120,"MITAKIDES, LOUELLA JANE",-1.0426310373,3,LOUELLA JANE MITAKIDES,100
21297,"SHAMANSKY, ROBERT N",-0.643009968302,12,ROBERT N SHAMANSKY,100
