,candname,cf_score,congdist,first_last_name,party
21298,"CRANLEY, JOHN J IV",-0.995552649014,1,JOHN J IV CRANLEY,100
21450,"KUCINICH, DENNIS J",-1.51048461779,10,DENNIS J KUCINICH,100
21466,"JONES, STEPHANIE TUBBS",-0.538395071607,11,STEPHANIE TUBBS JONES,100
21467,"GILLMOR, PAUL E",0.746667058937,5,PAUL E GILLMOR,200
21468,"CHABOT, STEVEN J",1.09102999772,1,STEVEN J CHABOT,200
21557,"SPACE, ZACHARY T",-0.82386435839,18,ZACHARY T SPACE,100
21558,"REGULA, RALPH S.",0.492195612759,16,RALPH S. REGULA,200
21559,"KILROY, MARY JO",-1.3302487648,15,MARY JO KILROY,100
21560,"SAWYER, THOMAS C",-0.588844890316,13,THOMAS C SAWYER,100
21561,"SUTTON, BETTY S MS.",-1.15848781071,13,BETTY S MS. SUTTON,100
21562,"WILSON, CHARLES A JR",-0.481053626762,6,CHARLES A JR WILSON,100
21563,"STRICKLAND, TED",-0.693719950373,6,TED STRICKLAND,100
21564,"JORDAN, JAMES D",1.16617992128,4,JAMES D JORDAN,200
21565,"SCHMIDT, JEANNETTE H",0.972166203838,2,JEANNETTE H SCHMIDT,200
21691,"LATOURETTE, STEVEN C",0.495298920282,14,STEVEN C LATOURETTE,200
21692,"NEY, ROBERT WILLIAM",0.615906732078,18,ROBERT WILLIAM NEY,200
21693,"PORTMAN, ROBERT JONES",0.929241202634,2,ROBERT JONES PORTMAN,200
21787,"RYAN, TIMOTHY J",-0.528508096016,17,TIMOTHY J RYAN,100
21788,"PRYCE, DEBORAH D",0.773027115565,15,DEBORAH D PRYCE,200
21789,"KAPTUR, MARCY",-0.587755282825,9,MARCY KAPTUR,100
21790,"OXLEY, MICHAEL G",0.631230596413,4,MICHAEL G OXLEY,200
21791,"TURNER, MICHAEL R",0.95064054199,3,MICHAEL R TURNER,200
21896,"TIBERI, PATRICK J",0.761395132356,12,PATRICK J TIBERI,200
21897,"BOEHNER, JOHN ANDREW",0.945359623002,8,JOHN ANDREW BOEHNER,200
21898,"HOBSON, DAVID L",0.683625198748,7,DAVID L HOBSON,200
21899,"MCEWEN, BOB",1.03579949828,2,BOB MCEWEN,200
20343,"SMITH, DAVID RANDALL II",1.35454683977,-1,DAVID RANDALL II SMITH,200
20344,"PIERCE, WILLIAM GARDNER",1.33196785053,-1,WILLIAM GARDNER PIERCE,200
20345,"HACKETT, PAUL III",-1.16912559127,-1,PAUL III HACKETT,100
21317,"VOINOVICH, GEORGE",0.751706966363,-1,GEORGE VOINOVICH,200
21355,"BROWN, SHERROD",-1.07872193777,-1,SHERROD BROWN,100
21420,"DEWINE, MIKE",0.795658201179,-1,MIKE DEWINE,200
