,Name,cfscore,last_name,first_name,first_last_name
21355,"BROWN, SHERROD",-1.07872193777,BROWN,SHERROD,SHERROD BROWN
21420,"DEWINE, MIKE",0.795658201179,DEWINE,MIKE,MIKE DEWINE
