,Name,cf_score,last_name,first_name,first_last_name
22263,"CAREY, MIKE",0.930762207198,CAREY,MIKE,MIKE CAREY
22264,"DAILEY, FRED L.",1.16376516079,DAILEY,FRED,FRED DAILEY
22265,"MOLL, JEANETTE M",1.19839777023,MOLL,JEANETTE M,JEANETTE M MOLL
22266,"PHILLIPS, PAUL",1.10086902361,PHILLIPS,PAUL,PAUL PHILLIPS
22267,"SCHIFFER, PAUL R",1.29986288553,SCHIFFER,PAUL R,PAUL R SCHIFFER
22268,"SCHURING, KIRK",1.03477901009,SCHURING,KIRK,KIRK SCHURING
22269,"ECKHART, DON ELIJAH",5.17225057367,ECKHART,DON ELIJAH,DON ELIJAH ECKHART
22270,"WAGNER, ROBERT M",1.48238739263,WAGNER,ROBERT M,ROBERT M WAGNER
22271,"STIVERS, STEVE",0.94031253207,STIVERS,STEVE,STEVE STIVERS
22272,"O'NEILL, WILLIAM M",-1.1312557814,O'NEILL,BILL,BILL O'NEILL
22273,"POTTER, DAVID S",1.02974304199,POTTER,DAVID,DAVID POTTER
22274,"ROBINSON, DAVID W",-1.18397919631,ROBINSON,DAVID,DAVID ROBINSON
22275,"GOODWIN, RUSS",-1.17637161498,GOODWIN,RUSS,RUSS GOODWIN
22276,"RYON, DAVID BLAIR",2.38512824584,RYON,DAVID BLAIR,DAVID BLAIR RYON
22277,"TRAKAS, JAMES PETER HONORABLE",0.628619631967,TRAKAS,JIM,JIM TRAKAS
22278,"O'GRADY, THOMAS E",0.0970067055823,O'GRADY,THOMAS E,THOMAS E O'GRADY
22279,"CIMPERMAN, JOSEPH",-0.226953686433,CIMPERMAN,JOSEPH,JOSEPH CIMPERMAN
22280,"PALMER, ROSEMARY",-1.10396858114,PALMER,ROSEMARY,ROSEMARY PALMER
22281,"VON STEIN, NICHOLAS ADAM",-0.924158553653,VON STEIN,NICHOLAS,NICHOLAS VONSTEIN
22282,"NEUHARDT, SHAREN SWARTZ",-0.918430961161,NEUHARDT,SHAREN,SHAREN NEUHARDT
22283,"HARKINS, DANIEL C",1.16232994149,HARKINS,DANIEL C,DANIEL C HARKINS
