cf_score_0,cf_score_1,geoid,num_votes_0,num_votes_1,tot_votes,midpoint
-1.045409714,1.283999495,1010101,38.0,129.0,167.0,0.11929489049999994
-1.045409714,1.283999495,1010102,3.0,28.0,31.0,0.11929489049999994
-1.045409714,1.283999495,1010201,38.0,166.0,204.0,0.11929489049999994
-1.045409714,1.283999495,1010301,51.0,68.0,119.0,0.11929489049999994
-1.045409714,1.283999495,1010401,32.0,98.0,130.0,0.11929489049999994
-0.48557633299999997,1.109981136,1050004,241.0,67.0,308.0,0.3122024015
-1.045409714,1.283999495,1070011,132.0,217.0,349.0,0.11929489049999994
-1.045409714,1.283999495,1070027,183.0,369.0,552.0,0.11929489049999994
-1.045409714,1.283999495,1070039,142.0,258.0,400.0,0.11929489049999994
-1.045409714,1.283999495,1070044,143.0,394.0,537.0,0.11929489049999994
-0.48557633299999997,1.109981136,1090001A,105.0,24.0,129.0,0.3122024015
-0.48557633299999997,1.109981136,1090002,131.0,41.0,172.0,0.3122024015
-0.48557633299999997,1.109981136,1090004,98.0,31.0,129.0,0.3122024015
-0.48557633299999997,1.109981136,10903-5,150.0,67.0,217.0,0.3122024015
-1.045409714,1.283999495,110101,45.0,171.0,216.0,0.11929489049999994
-1.045409714,1.283999495,110201,25.0,92.0,117.0,0.11929489049999994
-1.045409714,1.283999495,110202,16.0,54.0,70.0,0.11929489049999994
-1.045409714,1.283999495,110301,35.0,150.0,185.0,0.11929489049999994
-1.045409714,1.283999495,110302,2.0,14.0,16.0,0.11929489049999994
-1.045409714,1.283999495,110303,2.0,52.0,54.0,0.11929489049999994
-1.045409714,1.283999495,110401,17.0,135.0,152.0,0.11929489049999994
-1.045409714,1.283999495,110402,9.0,112.0,121.0,0.11929489049999994
-1.045409714,1.283999495,110403,2.0,22.0,24.0,0.11929489049999994
-1.045409714,1.283999495,110404,0.0,16.0,16.0,0.11929489049999994
-1.045409714,1.283999495,1110001,24.0,205.0,229.0,0.11929489049999994
-1.045409714,1.283999495,1110002,0.0,53.0,53.0,0.11929489049999994
-1.045409714,1.283999495,1110003,0.0,22.0,22.0,0.11929489049999994
-1.045409714,1.283999495,1110004,4.0,32.0,36.0,0.11929489049999994
-1.045409714,1.283999495,1110005,5.0,26.0,31.0,0.11929489049999994
-1.045409714,1.283999495,1110006,32.0,170.0,202.0,0.11929489049999994
-1.045409714,1.283999495,1110007,64.0,171.0,235.0,0.11929489049999994
-1.045409714,1.283999495,1110008,72.0,357.0,429.0,0.11929489049999994
-1.045409714,1.283999495,1110009,52.0,266.0,318.0,0.11929489049999994
-1.007671483,1.063418079,1131102,297.0,103.0,400.0,0.027873298000000046
-1.007671483,1.063418079,1131103,144.0,60.0,204.0,0.027873298000000046
-1.007671483,1.063418079,1131104,676.0,232.0,908.0,0.027873298000000046
-1.007671483,1.063418079,1131105,468.0,474.0,942.0,0.027873298000000046
-1.007671483,1.063418079,1131106,87.0,28.0,115.0,0.027873298000000046
-1.007671483,1.063418079,1131107,537.0,354.0,891.0,0.027873298000000046
-1.270784435,0.9258354999999999,1131108,391.0,346.0,737.0,-0.17247446749999995
-1.007671483,1.063418079,1131109,343.0,522.0,865.0,0.027873298000000046
-1.270784435,0.9258354999999999,1131110,598.0,1117.0,1715.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131111,483.0,1193.0,1676.0,-0.17247446749999995
-1.007671483,1.063418079,1131112,421.0,545.0,966.0,0.027873298000000046
-1.007671483,1.063418079,1131113,292.0,444.0,736.0,0.027873298000000046
-1.007671483,1.063418079,1131114,535.0,1263.0,1798.0,0.027873298000000046
-1.007671483,1.063418079,1131115,352.0,1134.0,1486.0,0.027873298000000046
-1.007671483,1.063418079,1131116,277.0,790.0,1067.0,0.027873298000000046
-1.007671483,1.063418079,1131117,654.0,1004.0,1658.0,0.027873298000000046
-1.007671483,1.063418079,1131118,451.0,938.0,1389.0,0.027873298000000046
-1.007671483,1.063418079,1131119,269.0,840.0,1109.0,0.027873298000000046
-1.007671483,1.063418079,1131130,525.0,819.0,1344.0,0.027873298000000046
-1.007671483,1.063418079,1131131,199.0,667.0,866.0,0.027873298000000046
-1.007671483,1.063418079,1131132,133.0,505.0,638.0,0.027873298000000046
-1.007671483,1.063418079,1131133,244.0,166.0,410.0,0.027873298000000046
-1.007671483,1.063418079,1131134,595.0,1014.0,1609.0,0.027873298000000046
-1.007671483,1.063418079,1131135,604.0,1814.0,2418.0,0.027873298000000046
-1.0382554640000001,1.042174632,1131136,392.0,437.0,829.0,0.0019595840000000697
-1.007671483,1.063418079,1131137,337.0,931.0,1268.0,0.027873298000000046
-1.007671483,1.063418079,1131138,378.0,842.0,1220.0,0.027873298000000046
-1.007671483,1.063418079,1131139,360.0,136.0,496.0,0.027873298000000046
-1.0382554640000001,1.042174632,1131140,685.0,1018.0,1703.0,0.0019595840000000697
-1.007671483,1.063418079,1131141,448.0,1519.0,1967.0,0.027873298000000046
-1.007671483,1.063418079,1131142,205.0,328.0,533.0,0.027873298000000046
-1.007671483,1.063418079,1131143,845.0,710.0,1555.0,0.027873298000000046
-1.007671483,1.063418079,1131145,350.0,577.0,927.0,0.027873298000000046
-1.007671483,1.063418079,1131146,415.0,1285.0,1700.0,0.027873298000000046
-1.007671483,1.063418079,1131147,358.0,1111.0,1469.0,0.027873298000000046
-1.007671483,1.063418079,1131148,347.0,1337.0,1684.0,0.027873298000000046
-1.270784435,0.9258354999999999,1131151,0.0,3.0,3.0,-0.17247446749999995
-1.007671483,1.063418079,1131205,224.0,908.0,1132.0,0.027873298000000046
-1.007671483,1.063418079,1131206,123.0,1156.0,1279.0,0.027873298000000046
-1.007671483,1.063418079,1131207,321.0,2211.0,2532.0,0.027873298000000046
-1.007671483,1.063418079,1131208,270.0,1871.0,2141.0,0.027873298000000046
-1.007671483,1.063418079,1131209,209.0,1103.0,1312.0,0.027873298000000046
-1.007671483,1.063418079,1131210,979.0,1137.0,2116.0,0.027873298000000046
-1.007671483,1.063418079,1131211,644.0,713.0,1357.0,0.027873298000000046
-1.007671483,1.063418079,1131213,441.0,354.0,795.0,0.027873298000000046
-1.007671483,1.063418079,1131215,339.0,1531.0,1870.0,0.027873298000000046
-1.007671483,1.063418079,1131216,218.0,992.0,1210.0,0.027873298000000046
-1.007671483,1.063418079,1131217,296.0,702.0,998.0,0.027873298000000046
-1.007671483,1.063418079,1131218,285.0,826.0,1111.0,0.027873298000000046
-1.007671483,1.063418079,1131219,402.0,384.0,786.0,0.027873298000000046
-1.007671483,1.063418079,1131220,456.0,1091.0,1547.0,0.027873298000000046
-1.007671483,1.063418079,1131222,227.0,1051.0,1278.0,0.027873298000000046
-1.007671483,1.063418079,1131226,264.0,1206.0,1470.0,0.027873298000000046
-1.007671483,1.063418079,1131243,5.0,31.0,36.0,0.027873298000000046
-1.270784435,0.9258354999999999,1131400,31.0,50.0,81.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131401,802.0,1479.0,2281.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131402,686.0,994.0,1680.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131404,507.0,573.0,1080.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131405,731.0,1534.0,2265.0,-0.17247446749999995
-1.0382554640000001,1.042174632,1131406,775.0,913.0,1688.0,0.0019595840000000697
-1.270784435,0.9258354999999999,1131407,818.0,1153.0,1971.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131408,438.0,414.0,852.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131409,495.0,532.0,1027.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131411,514.0,451.0,965.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131500,434.0,475.0,909.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131501,459.0,1221.0,1680.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131502,379.0,255.0,634.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131503,596.0,913.0,1509.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131504,26.0,59.0,85.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131505,439.0,914.0,1353.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131506,588.0,1089.0,1677.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131507,275.0,461.0,736.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131508,182.0,272.0,454.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131509,0.0,4.0,4.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131511,65.0,58.0,123.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131600,636.0,1257.0,1893.0,-0.17247446749999995
-1.270784435,0.9258354999999999,1131601,230.0,99.0,329.0,-0.17247446749999995
-1.0382554640000001,1.042174632,1131602,943.0,1271.0,2214.0,0.0019595840000000697
-1.0382554640000001,1.042174632,1131700,517.0,810.0,1327.0,0.0019595840000000697
-1.0382554640000001,1.042174632,1131701,299.0,734.0,1033.0,0.0019595840000000697
