candname,cf_score,district_num,geoid,num_votes,party
"DOHERTY, LARRY JOE",-0.697552976,10,4530218,1666.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530218,766.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010712,1093.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010712,748.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4530210,,100
"MCCAUL, MICHAEL",1.078150772,10,4530210,667.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770205,375.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770205,1162.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770124,7.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770124,16.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770414,97.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770414,438.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770410,250.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770410,521.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770320,74.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770320,130.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770423,20.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770423,43.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770126,13.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770126,2.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770101,291.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770101,287.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770311,162.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770311,553.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770413,91.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770413,379.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770121,35.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770121,45.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770319,9.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770319,11.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770327,254.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770327,934.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770122,54.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770122,14.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770425,74.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770425,141.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770312,180.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770312,514.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770307,256.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770307,579.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4770418,28.0,100
"MCCAUL, MICHAEL",1.078150772,10,4770418,58.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,41003A,295.0,100
"MCCAUL, MICHAEL",1.078150772,10,41003A,168.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4530209,1500.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530209,1340.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,4530112,1146.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530112,561.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,212016,308.0,100
"MCCAUL, MICHAEL",1.078150772,10,212016,291.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,212007,242.0,100
"MCCAUL, MICHAEL",1.078150772,10,212007,207.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,212003,874.0,100
"MCCAUL, MICHAEL",1.078150772,10,212003,494.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,212018,444.0,100
"MCCAUL, MICHAEL",1.078150772,10,212018,540.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,212011,310.0,100
"MCCAUL, MICHAEL",1.078150772,10,212011,447.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010878,280.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010878,1069.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010126,210.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010126,1447.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010552,442.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010552,2058.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010119,645.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010119,2228.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010521,1083.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010521,1139.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010529,409.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010529,1875.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010114,422.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010114,1569.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010720,639.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010720,1585.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010522,559.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010522,1765.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010768,731.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010768,2765.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010623,,100
"MCCAUL, MICHAEL",1.078150772,10,2010623,1698.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010688,455.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010688,1726.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010509,570.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010509,1356.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010305,1057.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010305,768.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010624,,100
"MCCAUL, MICHAEL",1.078150772,10,2010624,3.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010648,618.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010648,1445.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010485,807.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010485,2455.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010631,,100
"MCCAUL, MICHAEL",1.078150772,10,2010631,1445.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010618,1319.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010618,1198.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010575,8.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010575,36.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010127,246.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010127,612.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010783,54.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010783,64.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010734,1066.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010734,2265.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010726,222.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010726,1241.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010111,513.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010111,1819.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010300,747.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010300,2780.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010547,448.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010547,1016.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010112,596.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010112,1372.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010121,138.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010121,257.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010619,710.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010619,2191.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010879,990.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010879,972.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010617,1927.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010617,1268.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010049,495.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010049,1115.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010828,222.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010828,1110.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010124,725.0,100
"MCCAUL, MICHAEL",1.078150772,10,2010124,2804.0,200
"DOHERTY, LARRY JOE",-0.697552976,10,2010603,783.0,100
