,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
21678,441.121,2006,fd2006,H4TX04039,C00386532,N00026148,205272006,20527,cand950,,"GOHMERT, LOUIS B. MR. JR.",200,TX,federal:house,TX01,I,1.237442897,1.220990348,0.56099999,0.01,0.654,0.516,641,1976,M,955344,392,0,76264,0,0,0,0,358,0,0,0,1057369,823694,225929,0,1,W, , ,W,68,W,1.512266278,0.033632871,0.467657328,1.512266278,0.310000002,0.384576917,0.473324507,0.50360918,0.492410004,0.360191435,0.310000002,0.310000002,0.303,0.894763547,0.541059411,0.973566287,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20570,442.99,2006,fd2006,H6TX02145,C00419671,N00027915,H6TX021452006,H6TX02145,cand52716,,"BINDERIM, GARY",100,TX,federal:house,TX02,C,-0.920687169,-0.866763027,,,,,12,12,M,14945,2000,0,8790,0,0,0,0,0,0,0,0,16189,9240,400,0,1,W, , ,L,32,L,0.992095828,-0.157960042,0.363634139,0.992095828,0.370000005,0.413405508,0.500894904,0.545594096,0.50168997,0.378294945,0.370000005,0.400000006,0.374,0.558703844,0.163636364,1,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21679,442.106,2006,fd2006,H4TX02108,C00392670,N00026457,205282006,20528,cand951,,"POE, TED",200,TX,federal:house,TX02,I,0.950694861,0.865142627,0.598999977,0.202000007,0.667,0.418,602,2034,M,793013,2637,0,51844,0,0,0,0,165,0,0,0,1006006,619347,352204,0,1,W, , ,W,65,W,0.992095828,-0.157960042,0.363634139,0.992095828,0.370000005,0.413405508,0.500894904,0.545594096,0.50168997,0.378294945,0.370000005,0.400000006,0.374,0.558703844,0.234978073,0.939909472,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20569,443.114,2006,fd2006,H6TX03119,C00417782,N00027917,H6TX031192006,H6TX03119,cand52722,4122326575,"DODD, DANIEL A",100,TX,federal:house,TX03,C,-1.176951489,-1.115914927,,,,,23,23,M,40491,2000,8914,16317,0,0,0,0,0,0,0,0,40475,23126,5900,0,1,W, , ,L,34,L,0.843818128,1.510203838,1.769772887,0.843818128,0.330000013,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.605044067,0.162297568,0.806705246,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21769,443.117,2006,fd2006,H2TX03118,C00250720,N00008028,291432006,29143,cand1231,,"JOHNSON, SAMUEL ROBERT",200,TX,federal:house,TX03,I,1.042174632,1.058671841,0.616999984,0.207000002,0.765,0.448,328,1823,M,974859,392,0,71968,370,0,0,0,2287,0,0,0,1167853,457322,642406,0,1,W, , ,W,62,W,0.843818128,1.510203838,1.769772887,0.843818128,0.330000013,0.181990504,0.253108799,0.303665191,0.351699799,0.302181423,0.330000013,0.424242437,0.378,0.605044067,0.100698339,0.907553538,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20568,444.99,2006,fd2006,H6TX04083,C00416172,N00027787,H6TX040832006,H6TX04083,cand52729,4643044189,"MELANCON, GLENN",100,TX,federal:house,TX04,C,-1.478447387,-1.447805794,,,,,78,105,M,69720,0,0,31534,0,0,0,0,0,0,0,0,69754,64130,4660,0,1,W, , ,L,33,L,1.596346498,0.58146584,0.93594116,1.596346498,0.300000012,0.307061285,0.389256299,0.408070982,0.385376006,0.278497607,0.300000012,0.303030312,0.293,0.52352915,0.806493102,0.961351966,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21890,444.104,2006,fd2006,H0TX04037,C00120683,N00005645,948282006,94828,cand159935,4109317359,"HALL, RALPH MOODY",200,TX,federal:house,TX04,I,0.918165592,0.876848893,0.442999989,0.119999997,0.542,0.335,339,1068,M,942635,294,0,38986,0,0,0,0,1617,0,0,0,907158,382401,459874,0,1,W, , ,W,64,W,1.596346498,0.58146584,0.93594116,1.596346498,0.300000012,0.307061285,0.389256299,0.408070982,0.385376006,0.278497607,0.300000012,0.303030312,0.293,0.52352915,0.157094156,0.783600627,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,14828,94828,200
20567,445.98,2006,fd2006,H6TX05148,C00413443,N00027680,H6TX051482006,H6TX05148,cand52739,,"THOMPSON, CHARLES EDWARD",100,TX,federal:house,TX05,C,-1.149422622,-1.089150102,,,,,32,32,M,19753,2000,3000,720,0,0,0,0,0,0,0,0,22670,15570,1500,0,1,W, , ,L,35,L,1.276347518,-0.154530197,0.315514296,1.276347518,0.330000013,0.407419384,0.501416087,0.544341326,0.505758226,0.419237435,0.330000013,0.363636374,0.374,0.575702226,0.642651297,0.932659933,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21767,445.102,2006,fd2006,H2TX05121,C00370650,N00024922,203522006,20352,cand918,4098317497,"HENSARLING, THOMAS JEB",200,TX,federal:house,TX05,I,1.094709335,1.076001519,0.745000005,-0.239999995,0.939,0.018,565,2834,M,1129059,224,0,56023,0,0,0,0,179,0,0,0,1472926,834097,574441,0,1,W, , ,W,61,W,1.276347518,-0.154530197,0.315514296,1.276347518,0.330000013,0.407419384,0.501416087,0.544341326,0.505758226,0.419237435,0.330000013,0.363636374,0.374,0.575702226,0.069340026,0.858827278,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20566,446.13,2006,fd2006,H6TX06112,C00416958,N00028013,H6TX061122006,H6TX06112,cand52748,3991200391,"HARRIS, DAVID T",100,TX,federal:house,TX06,C,-1.133453718,-1.073624404,,,,,22,22,M,26993,0,2000,10121,0,0,0,0,0,0,0,0,28421,21921,4500,0,1,W, , ,L,37,L,1.055114627,0.739714026,1.64390564,1.055114627,0.333333284,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.690056366,0.121621622,0.300578035,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
